# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : Lipidomics_MassHunterQual.IDENTIFIED_UNIDENTIFIED_COMPOUNDS.raton cronico negativo 217000017_2022_Apr_12_08_14_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Tue Apr 12 08:14:59 CEST 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MF_KO_C1N: Log2(normalized),MF_KO_C2N: Log2(normalized),MF_KO_C3N: Log2(normalized),MF_KO_C4N: Log2(normalized),MF_KO_C5N: Log2(normalized),MF_KO_C6N: Log2(normalized),MF_KO_ET1N: Log2(normalized),MF_KO_ET2N: Log2(normalized),MF_KO_ET3N: Log2(normalized),MF_KO_ET4N: Log2(normalized),MF_KO_ET5N: Log2(normalized),MF_KO_ET6N: Log2(normalized),MF_WT_C1N: Log2(normalized),MF_WT_C2N: Log2(normalized),MF_WT_C3N: Log2(normalized),MF_WT_C4N: Log2(normalized),MF_WT_C5N: Log2(normalized),MF_WT_C6N: Log2(normalized),MF_WT_ET1N: Log2(normalized),MF_WT_ET2N: Log2(normalized),MF_WT_ET3N: Log2(normalized),MF_WT_ET4N: Log2(normalized),MF_WT_ET5N: Log2(normalized),MF_WT_ET6N: Log2(normalized),MM_KO_C1N: Log2(normalized),MM_KO_C2N: Log2(normalized),MM_KO_C3N: Log2(normalized),MM_KO_C4N: Log2(normalized),MM_KO_C5N: Log2(normalized),MM_KO_C6N: Log2(normalized),MM_KO_ET1N_2: Log2(normalized),MM_KO_ET2N: Log2(normalized),MM_KO_ET3N_2: Log2(normalized),MM_KO_ET4N: Log2(normalized),MM_KO_ET5N: Log2(normalized),MM_KO_ET6N : Log2(normalized),MM_WT_C1N: Log2(normalized),MM_WT_C2N: Log2(normalized),MM_WT_C3N: Log2(normalized),MM_WT_C4N: Log2(normalized),MM_WT_C5N: Log2(normalized),MM_WT_C6N: Log2(normalized),MM_WT_ET1N: Log2(normalized),MM_WT_ET2N: Log2(normalized),MM_WT_ET3N_2: Log2(normalized),MM_WT_ET4N_2: Log2(normalized),MM_WT_ET5N: Log2(normalized),MM_WT_ET6N: Log2(normalized),Alignment Value,Annotations,CAS Number,ChEBI ID,Compound Name
FA 18:1  RT:3.558,0.1550579,0.5069313,0.48771477,0.9291191,-0.01243782,0.8618698,0.44878006,0.309824,0.12872124,0.9226265,0.109680176,0.79429054,-0.5546303,-0.13319778,-0.2686119,-0.6108074,-0.14630699,0.72374535,0.022439957,0.29818726,-0.1883812,0.29296112,0.11200905,-0.2576599,-0.14078903,0.06680679,0.09241676,-0.6252594,0.28437614,0.36629295,-0.0346756,0.35942268,-0.8232231,-0.6412449,-0.12511635,-0.35550117,0.1252613,-0.9635315,-0.5997486,-0.6734352,-0.5033455,-0.25478172,-0.4208088,0.12243652,-0.013881683,0.01243782,-0.26647377,-0.48206902,FA 18:1,"FA 18:1 [ C18 H34 O2, tgt=89.90, overall=89.90, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,FA 18:1  RT:3.558
FA 18:2,0.38134766,0.77446365,0.6495018,1.3685131,0.124139786,1.3025017,0.19053268,-0.31312752,0.12534904,1.1617146,-0.012533188,0.64307785,-1.1300831,-0.56809235,-0.40942,-1.1162891,0.19804001,0.564312,0.26742744,0.41825485,-0.57065773,-0.63067055,-0.026361465,-0.04014969,0.15119171,0.09740448,0.3616352,-0.15686035,0.86950874,0.36082077,-0.07889938,0.49370193,-0.8536377,-0.6928768,-0.6257801,-0.47585297,-0.07339668,-0.5590439,-0.46715546,-0.6184902,-0.54626274,0.012533188,-0.3500061,0.06399536,-0.41049957,0.20917511,-0.038799286,0.22903252,FA 18:2,"FA 18:2 [ C18 H32 O2, tgt=90.09, overall=90.09, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,FA 18:2
FA 18:0,0.53795147,0.5237303,0.12016773,0.1223402,0.007948875,0.29705524,0.28833866,0.033438683,0.22562695,0.35184574,-26.065739,1.9817362,-0.21530437,0.42512417,-0.2212019,0.15428066,-0.6806593,1.2081041,0.4418497,0.4150896,0.59037304,1.0495939,-0.34053326,0.31003284,0.09394932,0.3356924,-25.897957,-0.6120882,-1.2479868,-0.08466816,-0.76959896,-0.65461445,-1.2364359,-1.1365004,-0.48490238,-0.3511858,-1.3178358,-0.9837675,-0.14101696,0.12922764,-0.63486385,-0.6613035,-0.079068184,1.3855734,-0.007948875,0.3570261,-0.69295025,-0.18536091,FA 18:0,"FA 18:0 [ C18 H36 O2, tgt=98.11, overall=98.11, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,FA 18:0
FA 16:1,0.051337242,0.20328999,0.13986492,0.5688524,0.35546017,0.49592686,0.8274145,0.14662647,-0.54088116,0.4242487,0.5446787,0.96861744,-1.0363913,-0.5183115,-0.6479559,-1.2022734,-0.5882788,0.23424435,-0.53872395,-0.34408474,-0.5919771,-0.37806606,-0.3783846,0.030684471,0.090353966,0.6475439,1.3183813,0.31333637,1.3101301,1.169755,-0.1515379,0.8130045,-0.8915243,-0.76202106,-0.030684471,0.15336323,0.053326607,-0.9676504,-0.73289585,-0.7062044,-0.76606274,-0.27712727,-0.6150408,-0.29937267,0.19107533,-0.39397335,0.88838863,-0.3598833,FA 16:1,"FA 16:1 [ C16 H30 O2, tgt=89.44, overall=89.44, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,FA 16:1
FA 20:0  RT:5.090,0.25782967,0.29130936,-0.36157227,-23.847872,-0.13953209,-0.15424538,-0.046842575,-0.14668083,0.12391281,0.065935135,-0.4675045,0.464756,-0.15867805,0.42253304,-0.06238365,0.11456299,-0.55537033,1.111515,0.25250244,0.30140305,0.5111542,0.91504097,-0.44372177,0.39572906,0.15275192,0.31399536,-0.24658585,-0.6121292,-0.8678093,-0.5534611,-0.88895416,-1.8776455,-1.62496,-1.5235119,-0.45858192,-0.29928207,-1.1925564,-0.4797554,0.046842575,0.17320442,0.17619896,-0.32423973,0.08519554,0.43901825,0.06446648,0.44833183,0.13865852,0.50045395,FA 20:0,"FA 20:0 [ C20 H40 O2, tgt=96.40, overall=96.40, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,FA 20:0  RT:5.090
PI 40:3,-0.001325607,-0.48540497,-0.047567368,-0.43717003,-0.85966873,-0.4964447,-0.41467285,-0.081869125,-0.07006836,-0.99279594,-0.5196705,-0.13703156,-0.24732971,0.6491089,0.45721817,0.34958458,0.4319229,0.9988327,0.4540596,-0.24361038,0.7177067,1.2152214,0.20558167,0.13502502,-0.09312248,0.33537292,0.45300674,1.757698,-2.1565514,-0.014980316,-0.29564667,-1.2837448,-0.98703575,-0.81834984,0.004701614,0.14424896,-0.40054703,-0.5324421,0.18865204,0.001325607,0.6038246,-0.083999634,0.23376083,0.6756878,1.0294437,0.245924,0.27095795,0.6041641,PI 40:3,"PI 40:3 [ C49 H89 O13 P, tgt=97.23, overall=97.23, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PI 40:3
PA 2:0_16:3,-0.5440941,0.19646263,-0.024932861,0.07702446,-0.8569641,0.020608902,0.06578255,0.049720764,-0.004175186,-0.9744892,-0.524992,-22.878777,-0.61779976,0.26335335,0.068603516,0.004175186,-0.09989166,0.9744816,0.023984909,0.152565,0.41993523,0.80426407,0.08244896,0.19716835,0.045970917,0.16451836,-0.23783684,0.24404907,-1.3656979,0.10282707,-0.38355827,-0.5202389,-1.1063862,-0.9258461,-0.28832626,-0.12349701,-1.1248589,-0.6086235,-0.0724926,0.18604088,0.12399101,-0.16730309,-0.00684166,-0.030197144,0.36307907,0.39928818,-0.015310288,0.47509193,PA 2:0_16:3,"PA 2:0_16:3 [ C21 H35 O8 P, tgt=99.11, overall=99.11, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PA 2:0_16:3
FA 20:3  RT:3.261,0.2147255,0.46185684,0.6370468,1.8240738,0.052885056,1.7442493,0.31368828,0.045812607,0.36556435,2.330185,-0.033302307,0.91064453,-1.591526,-1.9667645,-0.644125,-1.8409042,0.033302307,-0.14702034,0.13922882,0.86755943,-1.9992809,-1.6802387,-0.38110542,-0.667778,-0.6473255,-0.8647499,-0.39590645,-1.1493473,0.91529846,-0.88121223,0.65179634,1.0416222,0.33987808,0.08828735,-1.4022732,-1.2922764,-1.2458572,0.037748337,-0.74443626,-0.9366455,-0.45038033,0.44454765,-0.27908134,0.42726707,-1.0222454,1.0085697,-0.28639603,0.33678055,FA 20:3,"FA 20:3 [ C20 H34 O2, tgt=97.59, overall=97.59, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,FA 20:3  RT:3.261
FA 16:0,0.5331402,0.51930046,-0.068502426,0.059568405,0.08665657,0.12926102,-2.2871265,0.06594467,0.3492279,-22.278673,-2.5286312,0.6653156,0.26023293,0.8351269,0.1665039,0.38477898,0.002759934,-0.728014,0.61587524,0.53227997,5.595726,1.2807178,-0.03661537,0.72595406,-1.1503258,-1.7224693,-1.7424431,-0.50081635,-22.630713,-21.426624,-3.5045395,-0.78466606,-1.391758,-2.795988,-0.116968155,0.048574448,-1.0395851,-0.7401314,-0.28297615,0.6684475,-0.05847931,-0.5143986,0.034183502,-0.002759934,0.07916832,0.42556763,-0.14782524,0.49930382,FA 16:0,"FA 16:0 [ C16 H32 O2, tgt=96.37, overall=96.37, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,FA 16:0
FA 21:0  RT:4.653,0.038559914,0.14965343,0.117093086,0.2107935,-0.38125324,0.10530949,0.1383791,0.056637764,-0.11041546,-0.43135548,-0.38935375,0.21461391,-0.65590763,0.20486736,-0.19649792,-0.19966412,-0.0834322,0.80805874,0.047019005,0.124726295,0.12383175,0.59657,0.21198559,0.13102245,0.002022743,0.05074978,-0.3031206,-1.1845465,-0.9726248,-0.6136999,-0.3867941,-0.43360996,-1.1416922,-0.88877773,-0.7096586,-0.34126186,-0.41048145,-0.51793766,-0.21618748,0.05505085,-0.002022743,-0.008419991,0.026612282,0.015044212,0.61033916,0.46641636,-0.15936565,0.43488598,FA 21:0,"FA 21:0 [ C21 H42 O2, tgt=96.88, overall=96.88, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,FA 21:0  RT:4.653
