# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : Lipidomics_MassHunterQual.IDENTIFIED_UNIDENTIFIED_COMPOUNDS.RATON_2022_Mar_29_11_16_22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Tue Mar 29 11:29:28 CEST 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MF_KO_C1: Log2(normalized),MF_KO_C2: Log2(normalized),MF_KO_C3: Log2(normalized),MF_KO_C4: Log2(normalized),MF_KO_C5: Log2(normalized),MF_KO_C6: Log2(normalized),MF_KO_ET1: Log2(normalized),MF_KO_ET2: Log2(normalized),MF_KO_ET3: Log2(normalized),MF_KO_ET4: Log2(normalized),MF_KO_ET5: Log2(normalized),MF_KO_ET6: Log2(normalized),MF_WT_C1: Log2(normalized),MF_WT_C2: Log2(normalized),MF_WT_C3: Log2(normalized),MF_WT_C4: Log2(normalized),MF_WT_C5: Log2(normalized),MF_WT_C6: Log2(normalized),MF_WT_ET1: Log2(normalized),MF_WT_ET2: Log2(normalized),MF_WT_ET3: Log2(normalized),MF_WT_ET4: Log2(normalized),MF_WT_ET5: Log2(normalized),MF_WT_ET6: Log2(normalized),MM_KO_C1: Log2(normalized),MM_KO_C2: Log2(normalized),MM_KO_C3: Log2(normalized),MM_KO_C4: Log2(normalized),MM_KO_C5: Log2(normalized),MM_KO_C6: Log2(normalized),MM_KO_ET1: Log2(normalized),MM_KO_ET2: Log2(normalized),MM_KO_ET3: Log2(normalized),MM_KO_ET4: Log2(normalized),MM_KO_ET5: Log2(normalized),MM_KO_ET6: Log2(normalized),MM_WT_C1: Log2(normalized),MM_WT_C2: Log2(normalized),MM_WT_C3: Log2(normalized),MM_WT_C4: Log2(normalized),MM_WT_C5: Log2(normalized),MM_WT_C6: Log2(normalized),MM_WT_ET1: Log2(normalized),MM_WT_ET2: Log2(normalized),MM_WT_ET3: Log2(normalized),MM_WT_ET4: Log2(normalized),MM_WT_ET5: Log2(normalized),MM_WT_ET6: Log2(normalized),Alignment Value,Annotations,CAS Number,ChEBI ID,Compound Name
PC 16:0_18:2,0.81856537,0.4794407,0.18845749,-0.2836609,-0.13082695,-0.46746445,0.9459629,-0.003578186,-0.39097977,0.7635517,-0.001861572,0.9220066,-0.6837082,0.83704376,27.612854,-0.5147381,0.00186348,1.7770729,-0.4665165,0.33698845,0.48034286,0.48199463,-0.45946503,-0.67193985,28.100655,-1.2140884,27.907312,-1.4733887,-0.43052483,-1.3667793,-0.77570915,27.80916,27.26247,28.473375,-0.5234299,-0.07525635,28.39923,-1.453516,28.797972,28.45767,27.694983,28.291492,-0.5625992,-0.5245018,-0.9080486,27.144295,-1.0752716,-1.1932411,PC 16:0_18:2,"PC 16:0_18:2 [ C42 H80 N O8 P, tgt=97.84, overall=97.84, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PC 16:0_18:2
LPC 16:0/0:0,0.7755728,0.7039976,-0.025504112,0.05659771,0.15876293,0.42395115,1.4961538,0.6250315,0.21579456,0.38216686,0.4594221,0.89347744,-0.010388374,0.525754,0.26464748,-0.14689732,0.101857185,0.50503826,-0.08592701,0.37494564,0.2624712,-0.2834158,-0.029688835,-0.121432304,-0.45003033,-0.4742155,-0.40677738,-0.59795856,-0.030293465,-27.255367,-0.282382,0.018452644,-26.777977,-26.344666,-26.412018,0.6136389,0.039435387,-27.342106,0.25840473,0.08171368,0.027859688,0.010388374,-0.097037315,-0.084923744,-0.4392805,-0.5107889,-26.96386,-0.5840044,LPC 16:0/0:0,"LPC 16:0/0:0 [ C24 H50 N O7 P, tgt=97.01, overall=97.01, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,LPC 16:0/0:0
PC 16:0_22:6,-0.5429535,-0.8820782,-1.1730614,-1.6451797,26.837189,26.503187,-0.41555595,-1.365097,26.601395,27.420101,-1.3633804,-0.43951225,25.577602,-0.5244751,-1.4041843,26.16727,-1.3596554,0.41555405,-1.8280354,-1.0245304,26.854752,-0.87952423,-1.8209839,26.092636,25.761831,-2.5756073,25.583021,25.483442,26.28456,24.17287,-2.137228,-1.8141212,-2.250908,25.985031,26.49436,26.662941,26.357794,25.664797,-1.2490997,-1.7644691,26.414732,26.388851,26.269133,-1.8860207,-2.2695675,-2.2211914,25.917362,25.737694,PC 16:0_22:6,"PC 16:0_22:6 [ C46 H80 N O8 P, tgt=72.03, overall=72.03, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PC 16:0_22:6
PC 18:0_18:2,27.634003,0.38614273,0.09515953,26.553492,-0.22412491,-0.5607624,0.85266495,26.546976,26.505157,0.67025375,-0.09515953,0.82870865,27.386738,27.192068,-0.13596344,-0.60803604,26.907766,1.683775,-0.55981445,0.24369049,0.3870449,0.38869667,-0.552763,-0.7652378,25.792364,-1.3073864,26.133722,-1.5666866,-0.5238228,-1.4600773,26.224922,26.849167,-0.982687,-0.54937553,-0.6167278,-0.1685543,-0.6751385,-1.546814,27.757526,-0.49624825,27.402905,26.246767,-0.65589714,-0.61779976,-1.0013466,-0.9529705,-1.1685696,26.76422,PC 18:0_18:2,"PC 18:0_18:2 [ C44 H84 N O8 P, tgt=95.18, overall=95.18, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PC 18:0_18:2
LPC 18:1/0:0,-0.078440666,0.4447775,-0.6614275,-0.80365276,-0.7558222,0.6355772,1.9264708,1.1146765,0.18462849,-0.60057354,1.0130396,0.83165646,0.001181603,-0.1132555,0.34447193,-0.13839245,-0.71062756,0.013691902,-0.31675625,-0.11671543,0.15101528,-0.32166386,-0.34964085,-0.02867794,-0.73367405,-0.17322063,-0.1098299,-0.15772152,-0.49706173,0.20602894,0.07780361,0.32166958,0.9414816,1.1620054,1.0450602,1.433816,-0.001181603,0.29246807,0.05490017,-0.15803623,-0.06504154,-0.016688347,0.25774288,0.006480217,0.16845036,-0.18324947,0.55634403,-0.5751028,LPC 18:1/0:0,"LPC 18:1/0:0 [ C26 H52 N O7 P, tgt=93.07, overall=93.07, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,LPC 18:1/0:0
PC 18:0_18:1,24.853703,0.07122612,-0.21975708,-0.69187546,-0.5390415,-0.875679,25.727938,24.617636,-0.79919434,0.35533714,-0.41007614,25.890385,-1.0919228,0.4288292,-0.45088005,-0.92295265,24.288963,1.3688583,23.520802,-0.07122612,0.072128296,0.07378006,-0.8676796,-1.0801544,-1.4801121,-1.622303,23.245838,23.693676,-0.8387394,23.523968,23.702251,24.327408,24.449745,24.82641,24.498173,24.706886,24.34888,-1.8617306,-0.29579544,-0.81116486,24.132126,-1.092617,-0.97081375,-0.93271637,24.078728,-1.2678871,-1.4834862,-1.6014557,PC 18:0_18:1,"PC 18:0_18:1 [ C44 H86 N O8 P, tgt=95.43, overall=95.43, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PC 18:0_18:1
SM d34:1,1.9436331,0.61723804,0.6959982,1.9820299,2.1275187,1.6468744,2.147828,-24.718227,0.77727985,2.0430403,1.1317034,1.4824,0.5696993,-0.025435448,-0.29334354,-0.025874138,0.3071928,0.7249117,1.4876947,0.85887814,1.3680639,-0.92660236,-0.6180639,0.6329088,-0.42412853,-2.4063082,-0.68371105,-0.4785185,-0.6734972,0.59491634,-0.37097836,0.48305988,-0.07332897,0.50687885,0.3548689,0.025435448,-0.5233507,-2.0437593,-1.3752642,-1.0438185,-0.5304079,-1.943429,-0.9358816,-0.8064108,-1.9059725,-0.86436176,0.17321682,-3.6798735,SM d34:1,"SM d34:1 [ C39 H79 N2 O6 P, tgt=88.71, overall=88.71, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,SM d34:1
TG 16:1_18:1_18:2,25.786453,25.644636,26.059286,26.408567,25.09041,26.427116,25.755291,-0.058856964,-0.44625854,25.000225,-0.05714035,26.70167,-0.73898697,26.432697,-0.09794426,25.519283,27.089167,28.037983,25.562216,26.512512,26.664103,0.42671585,-0.5147438,-0.7272186,-1.1271763,24.646065,25.997152,-1.5286674,-0.4858036,24.979406,-0.83098793,-0.50788116,-0.9446678,24.891788,-0.57870865,-0.13053513,-0.6371193,-1.5087948,0.05714035,-0.45822906,25.97696,-0.73968124,-0.61787796,-0.5797806,25.505936,-0.9149513,-1.1305504,-1.2485199,TG 16:1_18:1_18:2,"TG 16:1_18:1_18:2 [ C55 H98 O6, tgt=87.46, overall=87.46, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 16:1_18:1_18:2
TG 16:0_16:1_18:1,-23.876032,-24.215157,0.7689915,1.0552616,-24.825424,1.2971687,1.241766,-0.728981,-25.085577,-0.012704849,-24.696459,-23.77259,-25.378305,0.95440483,-24.737263,0.25086403,-24.692734,-22.917524,0.05243492,1.2445812,-24.214254,-0.0965538,-25.154062,-0.15966988,0.6468563,0.3267994,0.47302628,-26.167986,0.7207966,0.14173698,-25.470306,-25.1472,-0.24653435,0.044675827,0.5014801,-24.769854,1.9685726,-0.08197403,0.81472206,1.8695412,0.15994453,0.3513527,-25.257196,0.3580227,0.40615463,0.012704849,0.09813309,-0.4386902,TG 16:0_16:1_18:1,"TG 16:0_16:1_18:1 [ C53 H98 O6, tgt=85.72, overall=85.72, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 16:0_16:1_18:1
LPC 18:0/0:0,1.1721449,0.65816784,0.27816296,0.22563839,0.38302135,0.21685123,1.4018774,0.6428461,0.32160854,0.9129019,0.28088665,1.1906137,-0.1342268,0.85701084,0.3455801,-0.045687675,0.322299,0.7966814,0.015742302,0.110648155,0.6699362,0.057269096,0.118504524,-0.015742302,-1.0662985,-1.1440744,-0.9973135,-1.0664988,-0.48828602,-0.80886745,-0.74216557,-0.035580635,-0.4519453,0.16526508,0.021416664,0.24579334,-0.43393993,-0.7391825,-0.4265585,-0.32866383,-0.36672878,-0.31094646,-0.2085619,-0.34504795,-0.89859676,-0.6384058,-0.39778614,-0.769639,LPC 18:0/0:0,"LPC 18:0/0:0 [ C26 H54 N O7 P, tgt=94.03, overall=94.03, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,LPC 18:0/0:0
