"Lipid","MF_KO_ET1","MF_KO_ET2","MF_KO_ET3","MF_KO_ET4","MF_KO_ET5","MF_KO_ET6","MM_KO_ET1","MM_KO_ET2","MM_KO_ET3","MM_KO_ET4","MM_KO_ET5","MM_KO_ET6","MF_WT_ET1","MF_WT_ET2","MF_WT_ET3","MF_WT_ET4","MF_WT_ET5","MF_WT_ET6","MM_WT_ET1","MM_WT_ET2","MM_WT_ET3","MM_WT_ET4","MM_WT_ET5","MM_WT_ET6","MF_KO_C1","MF_KO_C2","MF_KO_C3","MF_KO_C4","MF_KO_C5","MF_KO_C6","MM_KO_C1","MM_KO_C2","MM_KO_C3","MM_KO_C4","MM_KO_C5","MM_KO_C6","MF_WT_C1","MF_WT_C2","MF_WT_C3","MF_WT_C4","MF_WT_C5","MF_WT_C6","MM_WT_C1","MM_WT_C2","MM_WT_C3","MM_WT_C4","MM_WT_C5","MM_WT_C6"
"Acar(16:0)",1.4003029,0.4507618,0.063360214,1.2178917,0.4524784,1.3763466,-0.32136917,0.001737595,-0.43504906,-0.001737595,-0.06908989,0.37908363,-0.012176514,0.79132843,0.93468285,0.9363346,-0.005125046,-0.21759987,-0.1082592,-0.07016182,-0.45370865,-0.40533257,-0.6209316,-0.73890114,1.2729053,0.93378067,0.64279747,0.17067909,0.32351303,-0.013124466,-0.6175575,NA,-0.7875576,-1.0190487,0.023815155,-0.91243935,-0.22936821,1.2913837,0.4116745,-0.0603981,0.45620346,2.231413,-0.12750053,NA,NA,0.051389694,-0.10897255,-0.23006248
"Acar(18:0)",0.7955246,NA,-0.5414181,0.6131134,-0.15229988,0.7715683,-0.92614746,19.585129,20.00819,-0.6065159,18.772955,19.611725,19.364552,0.18655014,0.32990456,0.33155632,19.3544,-0.82237816,-0.7130375,-0.6749401,-1.0584869,-1.0101109,-1.2257099,NA,0.66812706,0.32900238,0.03801918,20.338373,20.57996,19.773712,-1.2223358,-1.3645267,-1.3923359,-1.623827,NA,-1.5172176,19.330273,0.68660545,-0.19310379,-0.6651764,19.227966,1.6266346,-0.7322788,NA,NA,-0.5533886,-0.71375084,-0.8348408
"Cer(15:0;O2_26:2)",0.012547493,0.12270069,-0.2649603,-0.027718544,-0.011126518,-0.24818707,-0.010886192,NA,-0.34351635,-0.08693409,-0.20935345,-0.12621212,-0.0858717,-0.71210384,-0.42249393,-0.27245808,-0.514905,0.38535213,0.2842188,0.46166897,0.5464964,0.90947056,0.9766741,0.93064785,-0.2588873,-0.16426945,0.30670834,0.1986742,-0.72869396,0.11329365,0.59766483,0.85361385,1.5552492,1.1605883,0.5843992,1.3494539,0.09003544,-1.2432489,-0.7601652,-0.4375372,-0.7840204,NA,0.49078083,0.5055189,-0.552289,-0.9318991,0.010886192,0.43894863
"Cer(16:0;O2_26:2)",21.55604,0.024011612,-0.16399193,21.899233,-0.70791817,0.17984009,-0.79226685,-0.7117615,21.002686,-1.4618187,-0.8061352,20.383776,21.452719,-0.2683792,0.02268219,0.4043846,-0.23332024,21.840092,-0.73327637,21.236013,21.236593,-0.42411232,-0.6489887,22.20069,-0.14502335,21.036867,21.687109,21.914654,21.689705,-0.022680283,-0.5087013,-0.3720398,-0.54013634,-0.6554718,-0.7897301,NA,-0.99147034,-0.20646667,20.729614,20.830126,-0.55597305,0.5416298,21.633167,-1.4661045,-0.9250889,19.62318,-0.7628784,21.265652
"Cer(18:0;O2_16:0)",0.4371357,0.41934013,0.2313366,-0.042362213,-0.31258965,0.5751686,-0.39693832,-0.31643295,-1.200573,-1.0664902,15.793745,15.745089,0.06655693,0.12694931,0.4180107,0.79971313,NA,0.32952118,-0.33794785,0.41288948,-0.023288727,-0.028783798,-0.2536602,0.09444237,0.25030518,0.39614868,0.32263756,0.39451027,NA,0.37264824,-0.1133728,0.023288727,-0.14480782,NA,-0.39440155,0.80968666,-0.5961418,0.18886185,-0.20524216,-0.19626427,-0.16064453,NA,-0.9310379,-1.070776,-0.52976036,-0.32193375,-0.3675499,-0.48490715
"Cer(18:0;O3_24:1)",0.463171,0.44537544,0.2573719,-0.016326904,-0.28655434,0.6012039,-0.37090302,-0.29039764,-1.1745377,-1.0404549,-0.38477135,-0.2682228,0.09259224,0.15298462,0.44404602,0.82574844,0.1880436,NA,-0.31191254,0.4389248,0.002746582,-0.002748489,-0.2276249,0.12047768,0.27634048,0.422184,0.34867287,0.42054558,NA,0.39868355,19.047733,18.900555,18.863264,-0.23410797,-0.36836624,0.83572197,-0.5701065,0.21489716,-0.17920685,-0.17022896,-0.13460922,NA,-0.9050026,-1.0447407,-0.50372505,-0.29589844,-0.3415146,-0.45887184
"Cer(18:1;O2_16:0)",0.47270775,0.4549122,0.26690865,-0.006790161,NA,0.61074066,-0.36136627,-0.2808609,-1.1650009,-1.0309181,-0.3752346,-0.25868607,0.10212898,0.16252136,0.45358276,NA,0.19758034,0.36509323,-0.3023758,0.44846153,0.012283325,0.006788254,-0.21808815,0.13001442,0.28587723,0.43172073,0.3582096,0.43008232,NA,0.4082203,-0.07780075,0.05886078,-0.10923576,-0.22457123,-0.3588295,NA,-0.56056976,0.2244339,-0.1696701,-0.16069221,-0.12507248,NA,-0.89546585,-1.0352039,-0.4941883,-0.2863617,-0.33197784,-0.4493351
"Cer(18:1;O2_18:0)",0.39221382,18.71707,0.18641472,18.691963,-0.35751152,0.53024673,-0.4418602,-0.36135483,-1.2454948,-1.111412,-0.45572853,-0.33918,0.021635056,0.082027435,0.37308884,NA,0.11708641,0.2845993,-0.38286972,0.3679676,-0.0682106,-0.07370567,-0.29858208,0.049520493,0.2053833,0.3512268,0.27771568,0.3495884,NA,0.32772636,-0.15829468,-0.021633148,-0.18972969,-0.30506516,-0.43932343,NA,-0.6410637,0.14393997,17.231714,-0.24118614,17.830425,0.89203644,NA,NA,-0.57468224,-0.36685562,-0.41247177,-0.529829
"Cer(18:1;O2_22:0)",-8.5798815,-9.06354978,-9.35125255,-8.910836452,-9.42865667,NA,NA,NA,0.3443546,0.3955917,0.929428075,0.54332065,-0.16535663,-0.37573814,-8.82225399,NA,-0.53972815,-9.44264025,0.22309018,0.71945,0.0214920045,0.3206834805,0.56449125,0.62936974,-8.73699576,-8.8336365,-9.015883565,-9.21600621,NA,-9.318839225,0.238378523,0.488728518,0.333984375,0.461629865,NA,1.081270235,-0.3051719635,-8.75847792,-9.395384925,-9.62693198,0.09542942,NA,0.26655195,0.08728695,0.355494475,0.38775253,0.3248987,0.60753728
"Cer(18:1;O2_22:1)",0.111055374,0.09325981,-0.09474373,-0.36844254,-0.63866997,0.24908829,19.78792,-0.6425133,19.243622,19.343178,-0.736887,-0.62033844,-0.2595234,-0.19913101,0.09193039,NA,-0.16407204,0.003440857,18.51276,0.08680916,18.630337,19.16594,-0.5797405,-0.23163795,-0.07577515,0.07006836,-0.003442764,0.06842995,NA,0.046567917,-0.43945312,-0.3027916,-0.47088814,-0.5862236,-0.7204819,NA,NA,-0.13721848,-0.5313225,-0.5223446,-0.48672485,0.610878,NA,20.01552,18.778582,18.306183,19.120855,19.903101
