"Refmet","C1_HOMBRE","C2_HOMBRE","C3_HOMBRE","C4_HOMBRE","C5_HOMBRE","C6_HOMBRE","C1_MUJER","C2_MUJER","C3_MUJER","C4_MUJER","C5_MUJER","C6_MUJER","ET1_HOMBRE","ET2_HOMBRE","ET3_HOMBRE","ET4_HOMBRE","ET5_HOMBRE","ET6_HOMBRE","ET1_MUJER","ET2_MUJER","ET3_MUJER","ET4_MUJER","ET5_MUJER"
"AcylGlcADG 50:11",-0.7541561,-0.52677155,NA,-0.55353165,-0.6656647,-0.60310364,1.0904408,0.56869507,0.95191383,0.49300003,1.0994377,1.1678085,-0.8092766,-0.7061291,-0.48900414,-0.076654434,-0.7273464,0,0.9577675,NA,0.30479622,0.8501625,0.49287605
"Arachidic acid",-0.3338642,-0.14959335,-0.16415024,-0.059072495,-0.36691856,-0.06452942,0.215559,NA,0.2629032,NA,0.15164948,NA,NA,0.13745117,0.27531624,0.82198334,0.045064926,0.52812195,-0.1241951,NA,NA,0.22755623,-0.13849258
"Arachidonic acid",-0.46361732,-0.19708443,0.08259201,-0.16427231,-0.54371834,NA,0.0524292,-0.3354702,NA,-0.51473236,-0.29387665,0,-0.34472275,-0.01483345,15.475954,17.605087,-0.3401699,19.440508,14.0567875,18.062004,-0.5477085,0.01818657,18.173891
"Behenic acid",NA,-0.22468567,NA,0.008987427,NA,0.11874199,0.2220459,0.03903389,0.1701088,NA,0.24402809,NA,-0.45093918,0.11513519,0,0.6143646,-0.061552048,0.48757553,-0.2335701,-0.48549843,-0.5437565,NA,-0.37410545
"CAR 16:0",0.43674088,-20.717844,-0.11707497,0,-20.642406,0.057024002,0.023597717,-0.5112362,-0.9962883,0.5027447,-0.03325081,NA,0.5917797,0.59409714,0.118745804,0.45491028,0.81985855,NA,0.6767216,-20.34897,-20.772501,1.358717,-21.078878
"CAR 18:0",-0.029571533,NA,0.13239098,0.293581,0.13383293,-0.054445267,-20.005108,-21.116058,-20.949871,-0.34459305,-0.7101383,-19.69112,0.3025856,0.2605915,NA,0.40301704,0.78964424,0.7807617,0.3902378,0.77625275,-20.853556,-19.601854,0
"Cer 16:1;O2/16:0",0.6919842,NA,0.034620285,0,-0.604599,-0.2859974,0.016714096,0.21928596,0.30569458,0.025186539,0.26389122,NA,-19.738697,0.15767479,0.253994,0.19153404,-0.31994438,-18.962961,NA,NA,-0.37059593,-0.11057091,-0.30436707
"Cer 17:1;O2/16:0",-0.30161858,-0.035085678,0.24459076,-0.00227356,-0.3817196,0,0.21442795,-0.17347145,0.07183647,-0.3527336,-0.1318779,0.16199875,-0.182724,19.031717,0.10182762,18.432371,-0.17817116,18.037048,0.027341843,NA,-0.38570976,0.18018532,-0.13210869
"Cer 18:0;O2/16:0",20.410234,-0.215271,20.063911,19.65588,19.466236,-0.18018532,0.03424263,-0.35365677,-0.10834885,-0.53291893,-0.31206322,-0.01818657,21.024496,-0.03302002,20.440952,0.45552635,20.192339,20.346333,-0.15284348,NA,-0.5658951,0,-0.312294
"Cer 18:0;O2/18:0",NA,0.53903006,1.00572393,0.61413002,0.18612098,0.51264955,-10.157127175,-10.545026875,0.520710935,NA,0.242637635,-10.209556775,NA,-10.22439,-10.2697278385,-9.735843815,-10.54972673,-9.77854372,10.60798361,10.948845,10.2180514555,NA,NA
