,group
MF_KO_C1,MF_KO_C
MF_KO_C2,MF_KO_C
MF_KO_C3,MF_KO_C
MF_KO_C4,MF_KO_C
MF_KO_C5,MF_KO_C
MF_KO_C6,MF_KO_C
MF_KO_ET1,MF_KO_ET
MF_KO_ET2,MF_KO_ET
MF_KO_ET3,MF_KO_ET
MF_KO_ET4,MF_KO_ET
MF_KO_ET5,MF_KO_ET
MF_KO_ET6,MF_KO_ET
MF_WT_C1,MF_WT_C
MF_WT_C2,MF_WT_C
MF_WT_C3,MF_WT_C
MF_WT_C4,MF_WT_C
MF_WT_C5,MF_WT_C
MF_WT_C6,MF_WT_C
MF_WT_ET1,MF_WT_ET
MF_WT_ET2,MF_WT_ET
MF_WT_ET3,MF_WT_ET
MF_WT_ET4,MF_WT_ET
MF_WT_ET5,MF_WT_ET
MF_WT_ET6,MF_WT_ET
MM_KO_C1,MM_KO_C
MM_KO_C2,MM_KO_C
MM_KO_C3,MM_KO_C
MM_KO_C4,MM_KO_C
MM_KO_C5,MM_KO_C
MM_KO_C6,MM_KO_C
MM_KO_ET1,MM_KO_ET
MM_KO_ET2,MM_KO_ET
MM_KO_ET3,MM_KO_ET
MM_KO_ET4,MM_KO_ET
MM_KO_ET5,MM_KO_ET
MM_KO_ET6,MM_KO_ET
MM_WT_C1,MM_WT_C
MM_WT_C2,MM_WT_C
MM_WT_C3,MM_WT_C
MM_WT_C4,MM_WT_C
MM_WT_C5,MM_WT_C
MM_WT_C6,MM_WT_C
MM_WT_ET1,MM_WT_ET
MM_WT_ET2,MM_WT_ET
MM_WT_ET3,MM_WT_ET
MM_WT_ET4,MM_WT_ET
MM_WT_ET5,MM_WT_ET
MM_WT_ET6,MM_WT_ET
