LipidlynxX,C1_HOMBRE,C2_HOMBRE,C3_HOMBRE,C4_HOMBRE,C5_HOMBRE,C6_HOMBRE,C1_MUJER,C2_MUJER,C3_MUJER,C4_MUJER,C5_MUJER,C6_MUJER,ET1_HOMBRE,ET2_HOMBRE,ET3_HOMBRE,ET4_HOMBRE,ET5_HOMBRE,ET6_HOMBRE,ET1_MUJER,ET2_MUJER,ET3_MUJER,ET4_MUJER,ET5_MUJER
Acar(18:0),-0.029571533,,0.13239098,0.293581,0.13383293,-0.054445267,-20.005108,-21.116058,-20.949871,-0.34459305,-0.7101383,-19.69112,0.3025856,0.2605915,,0.40301704,0.78964424,0.7807617,0.3902378,0.77625275,-20.853556,-19.601854,0.0
Cer(35:4;O3),-0.5160465,-0.24951363,0.030162811,-0.21670151,-0.59614754,-0.21442795,0.0,-0.3878994,-0.14259148,16.972761,-0.34630585,15.389932,-0.39715195,-0.06726265,-0.11260033,0.42128372,,0.3785839,16.733696,,17.261791,17.053614,16.681768
Cer(41:0;O3),-0.37345505,-0.10692215,0.17275429,21.547651,-0.45355606,19.416113,0.14259148,-0.24530792,0.0,-0.42457008,-0.20371437,,-0.25456047,0.07532883,0.02999115,0.5638752,-0.25000763,0.5211754,-0.04449463,,-0.45754623,0.10834885,-0.20394516
Cer(42:0;O3),-0.37345505,-0.10692215,0.17275429,-0.07411003,,-0.07183647,0.14259148,-0.24530792,0.0,-0.42457008,-0.20371437,0.09016228,-0.25456047,0.07532883,0.02999115,0.5638752,-0.25000763,0.5211754,-0.04449463,1.4668846,,0.10834885,-0.20394516
Cer(42:0;O4),-0.37345505,-0.10692215,0.17275429,-0.07411003,-0.45355606,-0.07183647,0.14259148,-0.24530792,0.0,-0.42457008,-0.20371437,0.09016228,-0.25456047,0.07532883,0.02999115,0.5638752,,0.5211754,-0.04449463,1.4668846,,0.10834885,-0.20394516
Cer(42:1;O3),-0.89463043,-0.62809753,-0.3484211,20.778852,20.787222,-0.59301186,-0.3785839,-0.7664833,21.728113,20.502405,-0.72488976,-0.4310131,20.874596,-0.44584656,21.149117,21.4871,-0.771183,0.0,21.49091,0.9457092,-0.9787216,21.32754,21.035456
Cer(42:2;O3),-0.337536815,-0.071003914,0.208672525,-0.038191795,,-0.035918235,0.178509715,-0.209389685,0.035918235,-0.38865184,,0.126080515,-0.218642235,0.111247065,0.065909385,,-0.214089395,0.55709363,-0.0085763935,,-0.421627995,0.144267085,-0.168026925
Cer(44:1;O3),-18.9385,0.6016178,-18.39229,0.79060745,0.8323803,0.51639557,1.160532,0.53066254,-18.565044,-0.26712418,0.0,-18.474882,0.47184753,-18.489716,-18.535053,-18.00117,-18.815052,0.8526459,0.55387306,-17.09816,0.025777817,0.64932823,-18.76899
Cer(45:0;O3),,-0.27967644,0.0,-0.24686432,,-0.24459076,19.597237,-0.4180622,17.676731,-0.5973244,16.56909,17.032473,-0.42731476,-0.09742546,-0.14276314,0.3911209,-0.42276192,,18.681053,18.427313,17.692322,17.55284,
Cer(46:0;O3),,0.0,0.07152939,0.019096375,-0.17285156,-0.24949455,,0.09687424,0.04750061,-0.49900818,-0.13988876,-0.15241241,-0.09674072,0.12241554,-0.3028202,1.007782,-0.25605583,0.41799736,0.8272896,0.5064354,-20.357914,-19.792019,-0.55039215
Cer(46:1;O2),,0.19071388,0.38802338,0.21434975,0.005561829,-0.08501816,,-0.34249687,-0.30863,,-0.47727394,-0.5363617,0.42437744,,-0.2518196,0.7460575,-0.032079697,0.03451729,1.3693695,0.82834053,0.65682983,0.0,
Cer(46:1;O3),-0.4034462,-0.1369133,18.070604,-0.10410118,17.721487,-0.10182762,0.11260033,-0.27529907,-0.02999115,,-0.23370552,0.060171127,-0.28455162,0.045337677,0.0,0.53388405,-0.27999878,0.49118423,,1.4368935,-0.48753738,0.0783577,-0.23393631
Cer(48:0;O3),0.13999939,-0.07019997,0.28175926,0.0,,-0.090566635,,0.10188484,-0.032701492,-0.5245609,-0.35079193,0.14463806,-0.03917122,,-0.3547516,1.2957344,-0.15394402,0.80809593,0.94254875,0.9930458,0.06964111,0.25602722,-0.52296066
Cer(48:1;O3),,0.0,0.35390854,0.081653595,0.18899727,-0.049646378,,-0.3923111,-0.36239624,-0.9929943,-0.71369743,-1.0997677,0.74806976,-0.15981293,-0.3349781,1.2270641,-0.390337,0.42149734,,0.48283958,0.2954731,0.16449928,
MGDG(2:0_20:0),-0.30161858,-0.035085678,0.24459076,-0.00227356,-0.3817196,0.0,0.21442795,-0.17347145,0.07183647,-0.3527336,-0.1318779,,-0.182724,0.1471653,18.608444,0.63571167,-0.17817116,19.689648,0.027341843,1.5387211,-0.38570976,,-0.13210869
PC(19:2),0.103450775,0.9135189,0.0,0.1653347,0.46086884,0.5594692,-0.04989052,0.25383568,-19.766836,0.65379715,-19.45244,1.7220612,-20.10406,-19.982485,-19.999662,-19.302902,,-19.047619,-19.131697,-19.24699,0.2538395,-18.41882,0.75598145
PC(21:4),0.0,,,0.06232071,-0.046564102,0.28842354,-0.7498474,-0.29802895,-0.22445488,0.25691223,,1.2419796,0.5736408,-0.45846558,-0.7643013,0.042045593,0.605217,-0.2558136,1.1139755,-0.29143333,-0.48519516,0.7016144,0.7997551
SHexCer(34:1;O2),-0.7372627,-0.51556015,-0.47250366,0.110479355,0.14456367,0.0,-0.172575,-0.79465485,0.8108406,-0.40564346,0.2654686,-0.113801956,0.23687363,0.33429527,-0.14689827,0.38196754,-0.23511887,0.050016403,0.13862991,-0.5102501,0.25995445,0.6489563,-0.9317856
SHexCer(34:2;O2),-0.37345505,-0.10692215,0.17275429,,-0.45355606,-0.07183647,0.14259148,-0.24530792,0.0,-0.42457008,,0.09016228,-0.25456047,0.07532883,0.02999115,,-0.25000763,0.5211754,-0.04449463,1.4668846,-0.45754623,,-0.20394516
