"LIPID","C1_HOMBRE","C2_HOMBRE","C3_HOMBRE","C4_HOMBRE","C5_HOMBRE","C6_HOMBRE","C1_MUJER","C2_MUJER","C3_MUJER","C4_MUJER","C5_MUJER","C6_MUJER","ET1_HOMBRE","ET2_HOMBRE","ET3_HOMBRE","ET4_HOMBRE","ET5_HOMBRE","ET6_HOMBRE","ET1_MUJER","ET2_MUJER","ET3_MUJER","ET4_MUJER","ET5_MUJER"
"11Z-Hexadecen-7,9-diynoic acid",15.446272,-0.67079735,-0.3911209,-0.6379852,-1.0174313,14.810985,-0.42128372,15.432613,16.440641,15.580074,17.262953,-0.47371292,-0.81843567,-0.48854637,15.893919,0,16.432402,16.733013,-0.6083698,0.9030094,NA,-0.45552635,-0.76782036
"15-deoxy-delta-12,14-PGA2",0,-0.5526352,-0.30497932,-0.58460236,-0.6957493,-0.3260708,0.31385994,-0.011644363,NA,0.10269737,0.1460762,0.30854416,-1.1431618,-0.17944527,-0.108133316,0.7691097,-0.6067314,1.8772488,0.031324387,0.9607334,-0.8723583,0.4729824,1.755827
"3-hydroxyoctadecanoylcarnitine",-0.029571533,NA,0.13239098,0.293581,0.13383293,-0.054445267,-20.005108,-21.116058,-20.949871,-0.34459305,-0.7101383,-19.69112,0.3025856,0.2605915,NA,0.40301704,0.78964424,0.7807617,0.3902378,0.77625275,-20.853556,-19.601854,0
"8,11,14-Eicosatrienoic acid",NA,-0.5505333,-0.90426064,-0.5377846,-1.1719627,-0.7286701,-0.16068268,0.26358986,-0.7388954,0.9819298,-0.22351646,-0.6423569,0.36886978,0.45698738,0.70856285,0.1771965,-0.26743507,1.143259,-0.13508034,1.4989891,0.38043404,1.4719868,0
"Arachidic acid",-0.3338642,-0.14959335,-0.16415024,-0.059072495,-0.36691856,-0.06452942,0.215559,NA,0.2629032,NA,0.15164948,NA,NA,0.13745117,0.27531624,0.82198334,0.045064926,0.52812195,-0.1241951,NA,NA,0.22755623,-0.13849258
"Arachidonic acid",-0.46361732,-0.19708443,0.08259201,-0.16427231,-0.54371834,NA,0.0524292,-0.3354702,NA,-0.51473236,-0.29387665,0,-0.34472275,-0.01483345,15.475954,17.605087,-0.3401699,19.440508,14.0567875,18.062004,-0.5477085,0.01818657,18.173891
"Behenic acid",NA,-0.22468567,NA,0.008987427,NA,0.11874199,0.2220459,0.03903389,0.1701088,NA,0.24402809,NA,-0.45093918,0.11513519,0,0.6143646,-0.061552048,0.48757553,-0.2335701,-0.48549843,-0.5437565,NA,-0.37410545
"Docosadienoic acid",0.2661152,-0.29562187,NA,-0.13994598,0.6780052,0.7152405,-18.698942,-0.3788433,-1.2399673,0.17560005,-19.045248,-18.751371,0,1.1433945,0.072935104,0.74320793,0.27779388,1.1023407,-0.8914318,1.5497131,-0.70586395,0.44503784,NA
"Docosatetraenoic acid",-0.20283127,-0.6380367,-0.28627396,-0.093263626,-0.53608704,-0.23819733,0.6803627,0.15089989,0.25385475,0.62958145,0.020025253,0.006134033,0.48165512,0.39539528,-19.268164,-18.73428,-0.31716728,-18.77698,0,1.8600807,0.039943695,1.1111012,-0.008909225
"Docosatrienoic acid",0.595557215,-0.156633375,-8.84059885,-8.470419065,0.2616539,0.287981035,-0.51138305,0.0151643745,-0.79690457,0.11977006,-0.417525287,NA,0.3835974,1.3102894,NA,-7.39825985,-8.245261,-7.2374428,-0.26599121,1.1831856,-0.13904572,1.0842123,-0.261873245
"Docosenoic acid",-0.051870346,-0.001686096,-0.06140709,0,-0.11177635,NA,0.13492012,0.13038635,0.14700699,-0.1487732,-0.06791115,0.16771507,-0.024000168,0.33131218,0.37117195,0.91757774,-0.008302689,0.97851753,-0.06586838,0.5377331,-0.54955673,0.3178692,-0.13837242
"Eicosadienoic acid",0.10160638,0.00726890500000002,0.0718250255,0.00928401999999999,0.04980183,0.2169075,0,9.49633324,-0.151949500000001,0.0502275000000001,-0.146166803,-0.12547779,NA,0.614361775,10.226792125,1.01645661,0.16891003,11.05549695,-0.1605978,1.3795025,-0.359659500000001,0.479423499999999,-0.267631535
"Eicosapentaenoic acid",1.2795925,0.42393875,0.45265198,NA,0.35892677,0.8727093,-0.10293579,-0.53451157,0.19057465,-0.18680954,-0.045993805,NA,-0.68777657,0.72898865,0.27528763,1.5121231,0,NA,-0.55088997,-0.29985428,NA,1.0943623,0.4134369
